date,vv_lake_db,vh_lake_db,vv_moraine_db,orbit_direction,relative_orbit
2016-09-26,-10.4865,-17.701,-12.3093,DESCENDING,19
2016-10-08,-10.5807,-17.7601,-11.8602,DESCENDING,19
2016-10-20,-11.0474,-18.1524,-12.0141,DESCENDING,19
2016-11-01,-11.1449,-17.8147,-11.9353,DESCENDING,19
2016-11-13,-10.9878,-17.4723,-11.7485,DESCENDING,19
2016-12-07,-10.8983,-17.167,-11.539,DESCENDING,19
2016-12-19,-10.9258,-17.0436,-11.4951,DESCENDING,19
2016-12-31,-11.0793,-17.2239,-11.7227,DESCENDING,19
2017-01-12,-10.9658,-17.2693,-11.858,DESCENDING,19
2017-01-24,-10.7168,-16.9498,-11.5084,DESCENDING,19
2017-02-05,-11.268,-17.7333,-12.1559,DESCENDING,19
2017-02-09,-7.5081,-14.2196,-4.025,ASCENDING,85
2017-02-14,-10.7911,-17.3086,-7.3575,ASCENDING,158
2017-02-21,-7.526,-14.8021,-4.254,ASCENDING,85
2017-02-26,-11.0979,-17.8837,-7.9216,ASCENDING,158
2017-03-01,-11.0785,-17.5162,-12.0262,DESCENDING,19
2017-03-05,-7.8133,-14.4232,-4.4881,ASCENDING,85
2017-03-10,-11.3229,-17.4793,-7.9253,ASCENDING,158
2017-03-13,-11.6077,-17.4183,-12.5994,DESCENDING,19
2017-03-17,-7.7078,-14.3759,-4.0968,ASCENDING,85
2017-03-22,-12.2836,-19.4173,-9.1801,ASCENDING,158
2017-03-25,-12.5017,-19.0323,-13.6898,DESCENDING,19
2017-04-03,-11.576,-18.2851,-9.1024,ASCENDING,158
2017-04-06,-12.0866,-18.9056,-13.4692,DESCENDING,19
2017-04-10,-7.5433,-14.8717,-4.4591,ASCENDING,85
2017-04-15,-11.4413,-18.5102,-8.9986,ASCENDING,158
2017-04-18,-11.5705,-18.3277,-12.7753,DESCENDING,19
2017-04-22,-7.3721,-15.1793,-4.599,ASCENDING,85
2017-04-27,-11.4253,-18.3529,-8.4399,ASCENDING,158
2017-04-30,-11.8177,-18.7582,-13.2076,DESCENDING,19
2017-05-04,-7.5925,-15.18,-4.7369,ASCENDING,85
2017-05-09,-11.04,-18.4847,-8.3943,ASCENDING,158
2017-05-12,-11.7147,-18.714,-13.0737,DESCENDING,19
2017-05-16,-7.1218,-15.2834,-4.4577,ASCENDING,85
2017-05-21,-10.9935,-17.9057,-7.8322,ASCENDING,158
2017-05-24,-11.3449,-18.5808,-12.6131,DESCENDING,19
2017-05-28,-6.5155,-14.7031,-3.7589,ASCENDING,85
2017-06-02,-10.5611,-17.6109,-7.7007,ASCENDING,158
2017-06-05,-11.0147,-17.8367,-12.1945,DESCENDING,19
2017-06-09,-6.5067,-14.8515,-3.4163,ASCENDING,85
2017-06-14,-10.563,-17.9933,-6.8624,ASCENDING,158
2017-06-17,-11.0147,-18.2979,-12.1718,DESCENDING,19
2017-06-26,-9.8144,-17.312,-6.1946,ASCENDING,158
2017-06-29,-9.7941,-16.9548,-11.1964,DESCENDING,19
2017-07-03,-5.4851,-13.505,-2.4414,ASCENDING,85
2017-07-08,-8.9213,-16.2741,-5.4477,ASCENDING,158
2017-07-11,-9.654,-16.7549,-11.0712,DESCENDING,19
2017-07-15,-5.728,-13.6158,-2.5982,ASCENDING,85
2017-07-20,-9.207,-16.8162,-5.7268,ASCENDING,158
2017-07-23,-9.6491,-16.5804,-11.1102,DESCENDING,19
2017-07-27,-5.724,-13.5633,-2.5802,ASCENDING,85
2017-08-01,-8.987,-16.0991,-5.5352,ASCENDING,158
2017-08-04,-9.5514,-16.637,-10.8783,DESCENDING,19
2017-08-08,-5.6685,-13.6028,-2.3833,ASCENDING,85
2017-08-13,-9.1192,-16.1753,-5.5361,ASCENDING,158
