date,vv_lake_db,vh_lake_db,vv_moraine_db,orbit_direction,relative_orbit
2016-02-29,2.0332,-2.1327,-0.3075,DESCENDING,107
2016-05-22,-16.7805,-20.5231,-18.4394,ASCENDING,100
2016-09-27,-4.1727,-8.8566,-5.2681,DESCENDING,34
2016-10-09,-3.5302,-7.9257,-4.9669,DESCENDING,34
2016-10-21,-3.0997,-7.2595,-4.6678,DESCENDING,34
2016-11-02,-2.5194,-6.6479,-4.429,DESCENDING,34
2016-11-14,-2.3822,-6.4459,-4.3335,DESCENDING,34
2016-11-26,-2.4787,-6.3938,-4.4095,DESCENDING,34
2016-12-08,-2.3514,-6.2933,-4.3499,DESCENDING,34
2016-12-20,-2.2477,-6.154,-4.2481,DESCENDING,34
2017-01-01,-2.2335,-6.076,-4.2252,DESCENDING,34
2017-01-13,-2.1035,-5.988,-4.1833,DESCENDING,34
2017-01-25,-2.1642,-5.9802,-4.1123,DESCENDING,34
2017-02-05,-9.0305,-12.0301,-10.7978,ASCENDING,27
2017-02-06,-2.1049,-5.9026,-4.1621,DESCENDING,34
2017-02-10,-12.7405,-15.4592,-15.4451,ASCENDING,100
2017-02-17,-9.0687,-12.0689,-10.8138,ASCENDING,27
2017-02-18,-2.397,-6.2234,-4.4126,DESCENDING,34
2017-02-22,-12.6979,-15.4345,-15.3668,ASCENDING,100
2017-03-01,-9.0465,-12.0193,-10.7616,ASCENDING,27
2017-03-02,-2.1028,-5.8501,-4.0129,DESCENDING,34
2017-03-06,-12.66,-15.4149,-15.2998,ASCENDING,100
2017-03-13,-8.9028,-11.9286,-10.739,ASCENDING,27
2017-03-14,-1.9554,-5.7286,-3.9513,DESCENDING,34
2017-03-18,-12.5678,-15.2561,-15.2536,ASCENDING,100
2017-03-19,1.4488,-2.3185,-1.0541,DESCENDING,107
2017-03-25,-8.8749,-11.9662,-10.664,ASCENDING,27
2017-03-26,-1.9986,-5.9355,-4.0276,DESCENDING,34
2017-03-30,-12.8411,-15.5212,-15.511,ASCENDING,100
2017-03-31,1.3006,-2.7416,-1.2051,DESCENDING,107
2017-04-06,-9.2273,-12.2909,-10.9423,ASCENDING,27
2017-04-07,-2.2693,-6.0159,-4.277,DESCENDING,34
2017-04-11,-12.9905,-15.842,-15.9051,ASCENDING,100
2017-04-12,1.3622,-2.5117,-1.1762,DESCENDING,107
2017-04-18,-10.9514,-14.5092,-12.8166,ASCENDING,27
2017-04-19,-3.5055,-7.9486,-5.5112,DESCENDING,34
2017-04-23,-13.25,-16.1563,-16.1948,ASCENDING,100
2017-04-24,0.9235,-3.3704,-1.6589,DESCENDING,107
2017-04-30,-9.9344,-13.2345,-11.639,ASCENDING,27
2017-05-01,-2.4532,-6.6585,-4.7506,DESCENDING,34
2017-05-05,-14.2374,-17.3975,-17.1288,ASCENDING,100
2017-05-06,0.7353,-3.7109,-1.8962,DESCENDING,107
2017-05-12,-11.8303,-15.5853,-13.4546,ASCENDING,27
2017-05-13,-3.5914,-8.3253,-5.7576,DESCENDING,34
2017-05-17,-14.5446,-17.6228,-17.2879,ASCENDING,100
2017-05-18,-0.4237,-5.1591,-3.0041,DESCENDING,107
2017-05-24,-13.9307,-18.5236,-14.7768,ASCENDING,27
2017-05-25,-4.3022,-9.4214,-6.1764,DESCENDING,34
2017-05-29,-17.1705,-20.9625,-18.4705,ASCENDING,100
2017-05-30,-0.6677,-5.9582,-2.8543,DESCENDING,107
2017-06-05,-12.3344,-16.4979,-13.7047,ASCENDING,27
2017-06-06,-4.4667,-9.6193,-6.3007,DESCENDING,34
2017-06-10,-14.54,-18.0078,-17.2889,ASCENDING,100
2017-06-11,0.0018,-5.1582,-2.435,DESCENDING,107
2017-06-22,-17.0598,-20.8546,-17.7445,ASCENDING,100
2017-06-23,-2.0312,-7.7481,-3.5691,DESCENDING,107
2017-06-29,-14.0893,-18.6348,-13.8621,ASCENDING,27
2017-06-30,-6.7147,-12.2732,-6.8162,DESCENDING,34
2017-07-04,-16.5963,-20.1814,-17.5287,ASCENDING,100
2017-07-05,-1.9699,-7.3496,-3.3391,DESCENDING,107
2017-07-11,-17.4528,-22.6094,-15.6023,ASCENDING,27
2017-07-12,-8.3711,-14.7321,-7.8657,DESCENDING,34
2017-07-16,-18.3182,-22.019,-17.9662,ASCENDING,100
2017-07-17,-3.7969,-9.9495,-4.5517,DESCENDING,107
2017-07-23,-16.1727,-21.138,-14.6678,ASCENDING,27
2017-07-24,-8.1674,-14.3395,-7.2288,DESCENDING,34
2017-07-28,-19.0663,-23.2131,-18.2914,ASCENDING,100
2017-07-29,-4.6007,-11.4546,-4.725,DESCENDING,107
2017-08-04,-16.4193,-21.5785,-14.9252,ASCENDING,27
2017-08-05,-8.6056,-14.8611,-7.9935,DESCENDING,34
2017-08-09,-18.3169,-22.4156,-17.9636,ASCENDING,100
2017-08-10,-3.9638,-10.3953,-4.5242,DESCENDING,107
2017-08-16,-14.2138,-19.0822,-13.8494,ASCENDING,27
2017-08-17,-6.4172,-12.0651,-6.7003,DESCENDING,34
2017-08-21,-17.1792,-21.0376,-17.3377,ASCENDING,100
2017-08-28,-13.5638,-18.1606,-13.0964,ASCENDING,27
2017-08-29,-6.0078,-11.3684,-6.004,DESCENDING,34
2017-09-02,-16.4924,-19.9953,-17.0478,ASCENDING,100
2017-09-03,-2.087,-7.5096,-3.1838,DESCENDING,107
2017-09-09,-13.5164,-18.1392,-13.2753,ASCENDING,27
2017-09-10,-5.3063,-10.4197,-5.7879,DESCENDING,34
2017-09-14,-14.8335,-18.121,-16.6013,ASCENDING,100
2017-09-15,-0.9721,-5.9581,-2.705,DESCENDING,107
2017-09-21,-11.3436,-15.4191,-12.1383,ASCENDING,27
2017-09-22,-4.2998,-9.0873,-5.3758,DESCENDING,34
2017-09-26,-14.198,-17.5344,-16.3422,ASCENDING,100
2017-09-27,0.0235,-4.8933,-1.9436,DESCENDING,107
2017-10-03,-10.3727,-14.1468,-11.5833,ASCENDING,27
2017-10-04,-3.3931,-7.8977,-4.868,DESCENDING,34
2017-10-08,-13.7274,-17.1061,-16.1828,ASCENDING,100
2017-10-09,0.5132,-4.0933,-1.8972,DESCENDING,107
2017-10-15,-9.7352,-13.304,-11.3486,ASCENDING,27
2017-10-16,-2.9343,-7.2204,-4.8172,DESCENDING,34
2017-10-20,-13.2204,-16.2301,-15.839,ASCENDING,100
2017-10-21,0.8594,-3.4465,-1.5914,DESCENDING,107
2017-10-27,-9.6263,-13.1385,-11.265,ASCENDING,27
2017-10-28,-2.6296,-6.8332,-4.5811,DESCENDING,34
2017-11-01,-13.1532,-16.3759,-15.7609,ASCENDING,100
2017-11-02,1.043,-3.3387,-1.396,DESCENDING,107
2017-11-08,-9.1241,-12.7219,-10.8227,ASCENDING,27
2017-11-09,-2.5189,-6.7406,-4.4193,DESCENDING,34
2017-11-13,-12.6069,-15.6878,-15.3216,ASCENDING,100
2017-11-14,1.2097,-3.0375,-1.2427,DESCENDING,107
2017-11-20,-9.0298,-12.4646,-10.8221,ASCENDING,27
2017-11-21,-2.2155,-6.3932,-4.308,DESCENDING,34
2017-11-25,-12.7383,-15.6735,-15.4321,ASCENDING,100
2017-11-26,1.3619,-2.8944,-1.1815,DESCENDING,107
2017-12-02,-8.9281,-12.3321,-10.7216,ASCENDING,27
2017-12-03,-2.2454,-6.3569,-4.3028,DESCENDING,34
2017-12-07,-12.4569,-15.4863,-15.1974,ASCENDING,100
2017-12-08,1.5226,-2.7409,-1.0765,DESCENDING,107
2017-12-14,-8.9786,-12.35,-10.7905,ASCENDING,27
2017-12-15,-2.3249,-6.3057,-4.3386,DESCENDING,34
2017-12-19,-12.4444,-15.4166,-15.2898,ASCENDING,100
2017-12-20,1.3605,-2.6736,-1.214,DESCENDING,107
2017-12-26,-8.9091,-12.1446,-10.775,ASCENDING,27
2017-12-27,-2.2866,-6.2442,-4.2867,DESCENDING,34
2017-12-31,-12.5348,-15.4227,-15.3436,ASCENDING,100
2018-01-01,1.5207,-2.5063,-1.0492,DESCENDING,107
2018-01-07,-8.8373,-12.0281,-10.7089,ASCENDING,27
2018-01-08,-1.9643,-5.9512,-4.0848,DESCENDING,34
2018-01-12,-12.3832,-15.3643,-15.2039,ASCENDING,100
2018-01-13,1.6784,-2.545,-0.895,DESCENDING,107
2018-01-19,-8.6753,-11.9555,-10.5516,ASCENDING,27
