date,temperature_2m_k,total_precip_m_day,snow_depth_m_we
2016-01-01,262.38,4e-06,0.05
2016-01-02,261.06,0.001082,0.05
2016-01-03,261.42,2.1e-05,0.05
2016-01-04,262.99,1e-05,0.05
2016-01-05,261.02,0.003737,0.05
2016-01-06,262.0,0.000406,0.05
2016-01-07,260.76,0.00063,0.05
2016-01-08,257.72,0.002242,0.05
2016-01-09,258.12,3e-06,0.05
2016-01-10,262.0,1e-06,0.05
2016-01-11,263.67,0.0,0.05
2016-01-12,262.12,1.9e-05,0.05
2016-01-13,259.46,0.00026,0.05
2016-01-14,261.59,0.001318,0.05
2016-01-15,259.3,0.002274,0.05
2016-01-16,260.88,0.0,0.05
2016-01-17,259.87,0.000105,0.05
2016-01-18,258.43,0.000731,0.05
2016-01-19,257.56,0.011846,0.05
2016-01-20,254.23,0.006038,0.05
2016-01-21,254.61,3e-06,0.05
2016-01-22,255.01,0.0,0.05
2016-01-23,254.79,2e-06,0.05
2016-01-24,255.12,4e-06,0.05
2016-01-25,254.69,3.2e-05,0.05
2016-01-26,256.72,0.002329,0.05
2016-01-27,258.75,0.001255,0.05
2016-01-28,261.49,4e-06,0.05
2016-01-29,261.76,0.000685,0.05
2016-01-30,261.99,0.000478,0.05
2016-01-31,261.36,0.001917,0.05
2016-02-01,261.21,7e-06,0.05
2016-02-02,261.69,8.5e-05,0.05
2016-02-03,262.72,6e-06,0.05
2016-02-04,265.2,1e-06,0.05
2016-02-05,265.76,0.0,0.05
2016-02-06,263.75,8e-06,0.05
2016-02-07,260.96,0.010218,0.05
2016-02-08,257.83,0.003889,0.05
2016-02-09,258.8,8.2e-05,0.05
2016-02-10,259.39,0.000994,0.05
2016-02-11,257.89,0.001361,0.05
2016-02-12,259.41,0.000715,0.05
2016-02-13,257.18,0.001093,0.05
2016-02-14,258.43,0.000315,0.05
2016-02-15,259.52,0.00014,0.05
2016-02-16,259.17,0.000165,0.05
2016-02-17,262.26,1e-06,0.05
2016-02-18,265.3,6e-06,0.05
2016-02-19,267.92,0.002251,0.05
2016-02-20,265.46,0.006553,0.05
2016-02-21,263.49,3e-05,0.05
2016-02-22,264.15,0.000156,0.05
2016-02-23,263.23,0.003895,0.05
2016-02-24,260.34,0.00189,0.05
2016-02-25,259.8,0.000208,0.05
2016-02-26,260.68,0.002064,0.05
2016-02-27,260.15,0.000226,0.05
2016-02-28,259.7,0.000204,0.05
2016-02-29,260.06,0.001433,0.05
2016-03-01,260.77,8.8e-05,0.05
2016-03-02,261.5,0.000119,0.05
2016-03-03,262.21,3.2e-05,0.05
2016-03-04,262.65,0.000178,0.05
2016-03-05,262.38,0.000884,0.05
2016-03-06,260.95,0.001792,0.05
2016-03-07,261.51,0.000167,0.05
2016-03-08,261.24,0.000613,0.05
2016-03-09,262.64,0.000224,0.05
2016-03-10,263.92,0.000234,0.05
2016-03-11,264.7,0.000769,0.05
2016-03-12,262.92,0.004327,0.05
2016-03-13,262.35,0.009621,0.05
2016-03-14,259.48,0.005964,0.05
2016-03-15,258.88,0.000425,0.05
2016-03-16,260.02,6e-06,0.05
2016-03-17,262.03,0.001596,0.05
2016-03-18,261.64,0.001184,0.05
2016-03-19,262.13,0.001722,0.05
2016-03-20,262.14,0.000773,0.05
2016-03-21,262.03,0.003234,0.05
2016-03-22,261.59,0.000676,0.05
2016-03-23,263.74,1e-06,0.05
2016-03-24,267.22,4.9e-05,0.05
2016-03-25,268.48,0.000145,0.05
2016-03-26,268.06,0.000309,0.05
2016-03-27,266.01,0.006105,0.05
2016-03-28,261.36,0.004988,0.05
2016-03-29,264.53,0.000458,0.05
2016-03-30,264.99,0.006592,0.05
2016-03-31,264.61,0.000649,0.05
2016-04-01,267.58,0.000324,0.05
2016-04-02,270.33,0.001705,0.05
2016-04-03,270.48,0.000429,0.05
2016-04-04,268.67,0.000149,0.05
2016-04-05,268.09,0.00019,0.05
2016-04-06,266.96,0.002829,0.05
2016-04-07,265.29,0.003398,0.05
2016-04-08,264.79,0.000506,0.05
2016-04-09,266.49,0.000158,0.05
2016-04-10,268.05,0.002633,0.05
2016-04-11,266.81,0.001805,0.05
2016-04-12,266.89,0.000325,0.05
2016-04-13,266.43,0.001178,0.05
2016-04-14,266.43,0.003556,0.05
2016-04-15,269.31,0.004599,0.05
2016-04-16,269.84,0.002109,0.05
2016-04-17,269.65,0.001146,0.05
2016-04-18,268.18,0.000968,0.05
2016-04-19,269.6,0.000849,0.05
2016-04-20,268.59,0.002788,0.05
2016-04-21,268.63,0.001267,0.05
2016-04-22,268.08,0.007383,0.05
2016-04-23,265.4,0.002542,0.05
2016-04-24,265.29,0.001591,0.05
2016-04-25,267.13,0.000269,0.05
2016-04-26,267.71,0.000397,0.05
2016-04-27,266.25,0.001044,0.05
2016-04-28,265.79,0.001483,0.05
2016-04-29,266.43,0.001309,0.05
2016-04-30,266.22,0.001429,0.05
2016-05-01,269.18,0.001,0.05
2016-05-02,270.09,0.000899,0.05
2016-05-03,269.81,0.002535,0.05
2016-05-04,270.0,0.003942,0.05
2016-05-05,269.51,0.002798,0.05
2016-05-06,269.73,0.004725,0.05
2016-05-07,268.83,0.007483,0.05
2016-05-08,270.84,0.003021,0.05
2016-05-09,270.8,0.004395,0.05
2016-05-10,270.58,0.003932,0.05
2016-05-11,271.77,0.003924,0.05
2016-05-12,272.22,0.006881,0.05
2016-05-13,272.34,0.004186,0.05
2016-05-14,272.93,0.003817,0.05
2016-05-15,272.51,0.003674,0.05
2016-05-16,272.35,0.002552,0.05
2016-05-17,271.46,0.003938,0.05
2016-05-18,273.41,0.001895,0.05
2016-05-19,273.46,0.002107,0.05
2016-05-20,273.55,0.003341,0.05
2016-05-21,273.64,0.004363,0.05
2016-05-22,274.66,0.002842,0.05
2016-05-23,272.74,0.010976,0.05
2016-05-24,272.41,0.006285,0.05
2016-05-25,270.38,0.003741,0.05
2016-05-26,271.44,0.003324,0.05
2016-05-27,273.14,0.004807,0.05
2016-05-28,270.76,0.023409,0.05
2016-05-29,270.26,0.005342,0.05
2016-05-30,270.64,0.003986,0.05
2016-05-31,271.18,0.004259,0.05
2016-06-01,273.28,0.001521,0.05
2016-06-02,274.47,0.001093,0.05
2016-06-03,274.76,0.00421,0.05
2016-06-04,275.38,0.004493,0.05
2016-06-05,275.31,0.004792,0.05
2016-06-06,275.6,0.006495,0.05
2016-06-07,274.47,0.001617,0.05
2016-06-08,274.22,0.002866,0.05
2016-06-09,274.16,0.002845,0.05
2016-06-10,275.3,0.006599,0.05
2016-06-11,276.17,0.004715,0.05
2016-06-12,276.25,0.00711,0.05
2016-06-13,275.79,0.002318,0.05
2016-06-14,276.46,0.00409,0.05
2016-06-15,276.63,0.006572,0.05
2016-06-16,276.26,0.008296,0.05
