date,vv_lake_db,vh_lake_db,vv_moraine_db,orbit_direction,relative_orbit
2016-01-02,-14.2615,-21.4217,-8.7903,ASCENDING,167
2016-01-08,-14.854,-23.0052,-11.4369,DESCENDING,56
2016-01-13,-18.5597,-22.8131,-10.2321,DESCENDING,167
2016-01-26,-14.2753,-23.1347,-11.7475,ASCENDING,131
2016-02-01,-14.4143,-21.9843,-11.4059,DESCENDING,24
2016-02-06,-14.1188,-23.1152,-11.915,ASCENDING,118
2016-02-17,-14.5648,-23.5589,-11.8966,DESCENDING,13
2016-02-23,-14.4932,-22.5289,-10.8684,DESCENDING,51
2016-03-01,-14.2241,-22.6449,-11.2044,ASCENDING,3
2016-03-13,-14.9537,-21.7757,-11.0904,ASCENDING,126
2016-04-01,-15.8557,-22.5891,-10.7666,ASCENDING,167
2016-04-07,-15.4179,-23.4918,-12.1652,DESCENDING,111
2016-04-13,-13.0714,-25.3542,-9.7309,ASCENDING,150
2016-04-18,-14.7623,-22.9657,-8.9092,DESCENDING,1
2016-04-24,-16.2346,-22.9122,-10.7165,ASCENDING,125
2016-05-05,-13.612,-21.7203,-9.4646,DESCENDING,168
2016-05-12,-12.9103,-21.7732,-12.5074,DESCENDING,107
2016-05-23,-11.7069,-23.6072,-9.7727,DESCENDING,170
2016-05-28,-11.4258,-23.6401,-11.1069,ASCENDING,34
2016-06-03,-14.9635,-22.1539,-12.1047,ASCENDING,80
2016-06-08,-12.8466,-23.0789,-9.1864,DESCENDING,116
2016-06-14,-14.1422,-24.4476,-10.9852,ASCENDING,20
2016-06-20,-14.7914,-22.6042,-10.6007,DESCENDING,2
2016-06-26,-17.7282,-22.7982,-11.0396,ASCENDING,22
2016-07-02,-14.9005,-21.4212,-9.5153,DESCENDING,169
2016-07-07,-12.8241,-24.0761,-9.247,ASCENDING,10
2016-07-13,-13.5074,-21.29,-11.0779,DESCENDING,111
2016-07-19,-12.4499,-22.4655,-11.8829,ASCENDING,114
2016-07-25,-14.8925,-22.3343,-13.1012,DESCENDING,109
2016-07-31,-15.6204,-22.3092,-11.7645,ASCENDING,55
2016-08-05,-15.0686,-22.878,-12.2972,DESCENDING,59
2016-08-11,-14.2977,-22.4619,-10.8649,ASCENDING,129
2016-08-17,-14.4962,-22.4474,-11.4437,ASCENDING,22
2016-08-24,-14.1696,-24.6583,-11.1607,DESCENDING,121
2016-08-31,-15.0572,-23.6357,-11.5673,ASCENDING,1
2016-09-06,-16.8813,-23.3334,-9.4414,ASCENDING,73
2016-09-11,-15.7882,-22.8063,-11.2817,DESCENDING,25
2016-09-17,-13.2311,-23.2845,-11.9411,DESCENDING,124
2016-09-29,-13.0984,-22.6062,-11.7692,DESCENDING,74
2016-10-09,-16.1208,-23.466,-11.1954,DESCENDING,60
2016-10-14,-14.1005,-23.4533,-9.9118,ASCENDING,22
2016-10-20,-14.5003,-23.5903,-10.7938,ASCENDING,151
2016-11-01,-12.5482,-22.8628,-9.8068,ASCENDING,14
2016-11-06,-14.132,-22.9507,-11.2901,DESCENDING,86
2016-11-12,-16.0545,-23.1799,-9.3517,DESCENDING,158
2016-11-25,-14.4394,-24.3543,-11.251,ASCENDING,8
2016-12-06,-15.3549,-22.6116,-11.3836,ASCENDING,72
2016-12-13,-15.0216,-22.3632,-12.1445,DESCENDING,47
2016-12-19,-17.6457,-23.0054,-11.0569,ASCENDING,3
2016-12-24,-14.8674,-22.0224,-10.211,ASCENDING,77
2016-12-31,-15.5026,-23.4473,-10.3914,DESCENDING,101
2017-01-06,-13.3774,-23.6389,-11.9071,DESCENDING,71
2017-01-12,-14.2581,-23.4106,-10.9095,ASCENDING,80
2017-01-19,-14.8361,-23.092,-10.0105,ASCENDING,90
2017-01-26,-14.6543,-23.1164,-9.804,DESCENDING,80
2017-02-01,-14.0745,-23.9396,-9.2717,DESCENDING,22
2017-02-07,-14.8518,-22.765,-11.0585,ASCENDING,32
2017-02-14,-18.0328,-23.0338,-11.1148,ASCENDING,38
2017-02-20,-13.5452,-24.2542,-10.1238,DESCENDING,78
2017-02-27,-14.0225,-23.1275,-9.5477,ASCENDING,23
2017-03-05,-16.3306,-23.1193,-9.0686,ASCENDING,4
2017-03-12,-12.9364,-23.2615,-10.8466,DESCENDING,92
2017-03-17,-13.6076,-23.8823,-9.1525,DESCENDING,7
2017-03-24,-14.0944,-21.7253,-11.1461,ASCENDING,23
2017-03-30,-14.6229,-24.1367,-10.3214,ASCENDING,57
2017-04-05,-15.0325,-22.7716,-10.8493,ASCENDING,64
2017-04-11,-14.9122,-22.0835,-11.2127,ASCENDING,141
2017-04-18,-15.2205,-23.4865,-10.086,ASCENDING,80
2017-04-24,-13.9603,-22.2051,-10.9704,ASCENDING,34
2017-04-30,-14.7909,-22.8453,-10.1965,ASCENDING,65
2017-05-06,-15.2789,-23.1939,-10.5088,DESCENDING,16
2017-05-12,-14.0469,-23.9131,-9.0343,ASCENDING,13
2017-05-18,-13.2283,-23.198,-12.4381,DESCENDING,69
2017-05-24,-15.3587,-22.4618,-10.7339,ASCENDING,33
2017-06-05,-14.9039,-22.3868,-8.7423,DESCENDING,28
2017-06-11,-16.0364,-22.9141,-10.4635,ASCENDING,104
2017-06-18,-15.2451,-23.2099,-8.9503,DESCENDING,157
2017-06-23,-15.553,-23.0582,-11.8663,DESCENDING,17
2017-06-29,-15.139,-23.1353,-8.5544,ASCENDING,29
2017-07-06,-14.4094,-23.704,-11.831,ASCENDING,115
2017-07-12,-16.6669,-23.3175,-9.4395,DESCENDING,120
2017-07-18,-14.0568,-22.3364,-9.8634,DESCENDING,47
2017-07-24,-13.1957,-23.5754,-10.1575,ASCENDING,160
2017-07-30,-15.5047,-22.0679,-11.0236,DESCENDING,63
2017-08-05,-18.3588,-22.58,-11.0914,DESCENDING,103
2017-08-11,-13.6278,-24.1131,-13.3634,DESCENDING,72
2017-08-17,-13.5352,-23.3251,-12.0721,DESCENDING,44
2017-08-22,-15.3994,-21.7903,-9.3944,ASCENDING,49
2017-08-28,-15.0408,-22.2973,-12.0004,DESCENDING,170
2017-09-03,-14.9857,-22.7983,-10.9151,DESCENDING,59
2017-09-09,-13.5612,-22.3989,-11.1275,ASCENDING,169
2017-09-15,-15.3331,-22.8218,-10.6437,ASCENDING,108
2017-09-21,-13.2759,-22.3655,-10.4978,ASCENDING,16
2017-09-27,-17.3305,-23.2157,-10.1078,ASCENDING,43
2017-10-03,-14.7567,-23.0331,-9.75,ASCENDING,139
2017-10-15,-12.9612,-23.6719,-10.8532,DESCENDING,45
2017-11-02,-14.7411,-23.057,-9.4509,ASCENDING,144
2017-11-08,-14.3554,-23.2626,-11.8515,ASCENDING,95
2017-11-14,-16.6092,-23.0736,-12.5933,ASCENDING,79
2017-11-21,-16.9397,-22.8096,-12.785,DESCENDING,117
2017-11-27,-13.9201,-22.8358,-10.8546,ASCENDING,62
2017-12-03,-16.4643,-22.9572,-10.2872,DESCENDING,26
2017-12-09,-14.74,-22.7974,-11.6941,DESCENDING,77
2017-12-15,-14.8652,-22.925,-10.0969,ASCENDING,84
2017-12-21,-13.2964,-22.7776,-9.4001,DESCENDING,129
2017-12-27,-16.1431,-21.9822,-10.1699,ASCENDING,78
2018-01-03,-17.5245,-21.9525,-9.6278,ASCENDING,43
2018-01-09,-13.0611,-22.6796,-11.3141,DESCENDING,112
2018-01-16,-14.3576,-24.5334,-9.7017,DESCENDING,143
2018-01-27,-15.0835,-23.1033,-11.0552,ASCENDING,53
2018-02-02,-15.142,-24.2687,-10.2353,DESCENDING,58
2018-02-09,-13.7241,-22.2923,-10.9067,DESCENDING,90
2018-02-14,-13.3974,-23.0164,-11.0651,ASCENDING,16
2018-02-21,-15.7826,-23.3294,-9.8008,ASCENDING,67
