date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,256.82,1.6,1
2016-01-02,254.03,-1.24,1
2016-01-03,254.4,-0.91,1
2016-01-04,NaN,NaN,0
2016-01-05,255.18,-0.23,1
2016-01-06,254.28,-1.18,1
2016-01-07,257.09,1.57,1
2016-01-08,256.95,1.37,1
2016-01-09,259.49,3.85,1
2016-01-10,253.34,-2.37,1
2016-01-11,250.67,-5.11,1
2016-01-12,252.25,-3.6,1
2016-01-13,254.65,-1.28,1
2016-01-14,258.27,2.26,1
2016-01-15,255.62,-0.47,1
2016-01-16,257.58,1.4,1
2016-01-17,251.84,-4.42,1
2016-01-18,255.08,-1.28,1
2016-01-19,253.45,-3.0,1
2016-01-20,NaN,NaN,0
2016-01-21,254.72,-1.93,1
2016-01-22,256.63,-0.12,1
2016-01-23,256.51,-0.35,1
2016-01-24,259.96,2.99,1
2016-01-25,258.14,1.06,1
2016-01-26,254.44,-2.76,1
2016-01-27,255.71,-1.6,1
2016-01-28,NaN,NaN,0
2016-01-29,NaN,NaN,0
2016-01-30,256.18,-1.5,1
2016-01-31,260.79,2.98,1
2016-02-01,258.53,0.59,1
2016-02-02,259.9,1.82,1
2016-02-03,259.45,1.24,1
2016-02-04,257.75,-0.6,1
2016-02-05,257.66,-0.83,1
2016-02-06,256.95,-1.68,1
2016-02-07,259.59,0.81,1
2016-02-08,261.63,2.7,1
2016-02-09,258.47,-0.61,1
2016-02-10,255.63,-3.6,1
2016-02-11,261.12,1.73,1
2016-02-12,261.93,2.39,1
2016-02-13,259.94,0.24,1
2016-02-14,255.45,-4.41,1
2016-02-15,257.28,-2.74,1
2016-02-16,259.24,-0.95,1
2016-02-17,262.22,1.87,1
2016-02-18,263.72,3.2,1
2016-02-19,261.89,1.2,1
2016-02-20,260.01,-0.85,1
2016-02-21,260.83,-0.21,1
2016-02-22,263.05,1.84,1
2016-02-23,260.88,-0.51,1
2016-02-24,260.77,-0.8,1
2016-02-25,NaN,NaN,0
2016-02-26,NaN,NaN,0
2016-02-27,260.47,-1.64,1
2016-02-28,264.78,2.49,1
2016-02-29,261.12,-1.36,1
2016-03-01,262.89,0.22,1
2016-03-02,265.77,2.92,1
2016-03-03,260.56,-2.48,1
2016-03-04,262.83,-0.4,1
2016-03-05,258.59,-4.83,1
2016-03-06,264.76,1.15,1
2016-03-07,263.81,0.01,1
2016-03-08,265.04,1.04,1
2016-03-09,260.22,-3.97,1
2016-03-10,269.44,5.06,1
2016-03-11,263.26,-1.32,1
2016-03-12,266.31,1.54,1
2016-03-13,NaN,NaN,0
2016-03-14,NaN,NaN,0
2016-03-15,NaN,NaN,0
2016-03-16,267.02,1.46,1
2016-03-17,270.25,4.49,1
2016-03-18,265.45,-0.51,1
2016-03-19,267.51,1.36,1
2016-03-20,NaN,NaN,0
2016-03-21,266.9,0.35,1
2016-03-22,267.02,0.27,1
2016-03-23,266.08,-0.87,1
2016-03-24,267.19,0.05,1
2016-03-25,266.74,-0.6,1
2016-03-26,269.07,1.53,1
2016-03-27,266.12,-1.61,1
2016-03-28,271.76,3.83,1
2016-03-29,269.93,1.8,1
2016-03-30,266.26,-2.06,1
2016-03-31,268.8,0.28,1
2016-04-01,270.11,1.4,1
2016-04-02,268.55,-0.36,1
2016-04-03,269.13,0.03,1
