date,temperature_2m_k,total_precip_m_day,snow_depth_m_we
2016-01-01,257.99,0.000195,0.05
2016-01-02,256.86,0.000256,0.05
2016-01-03,256.55,0.000167,0.05
2016-01-04,258.77,2.3e-05,0.05
2016-01-05,257.47,0.000934,0.05
2016-01-06,258.32,0.000237,0.05
2016-01-07,257.65,0.000788,0.05
2016-01-08,255.28,0.002018,0.05
2016-01-09,254.5,0.000713,0.05
2016-01-10,258.23,6.2e-05,0.05
2016-01-11,260.6,4.4e-05,0.05
2016-01-12,259.71,0.0004,0.05
2016-01-13,256.07,0.000783,0.05
2016-01-14,256.92,0.000621,0.05
2016-01-15,254.94,0.001759,0.05
2016-01-16,257.25,0.000153,0.05
2016-01-17,256.59,0.000524,0.05
2016-01-18,255.53,0.000817,0.05
2016-01-19,256.33,0.012851,0.05
2016-01-20,252.06,0.002532,0.05
2016-01-21,253.11,0.000174,0.05
2016-01-22,253.46,0.000462,0.05
2016-01-23,253.33,0.000239,0.05
2016-01-24,254.07,0.000633,0.05
2016-01-25,252.02,0.000137,0.05
2016-01-26,252.87,0.001473,0.05
2016-01-27,251.87,0.000368,0.05
2016-01-28,255.98,0.000153,0.05
2016-01-29,257.13,0.000197,0.05
2016-01-30,258.74,0.000208,0.05
2016-01-31,259.68,0.000431,0.05
2016-02-01,258.2,0.000455,0.05
2016-02-02,259.99,0.000597,0.05
2016-02-03,260.16,0.000151,0.05
2016-02-04,263.86,8.2e-05,0.05
2016-02-05,265.46,3.9e-05,0.05
2016-02-06,264.31,0.000388,0.05
2016-02-07,260.21,0.002825,0.05
2016-02-08,256.23,0.01271,0.05
2016-02-09,255.82,0.000449,0.05
2016-02-10,256.68,0.00108,0.05
2016-02-11,253.82,0.001513,0.05
2016-02-12,256.52,0.000776,0.05
2016-02-13,255.17,0.001246,0.05
2016-02-14,255.62,0.00065,0.05
2016-02-15,256.88,0.000453,0.05
2016-02-16,258.57,0.000282,0.05
2016-02-17,261.08,0.000121,0.05
2016-02-18,263.3,0.000117,0.05
2016-02-19,265.43,0.000153,0.05
2016-02-20,264.24,0.003368,0.05
2016-02-21,261.24,0.000504,0.05
2016-02-22,261.62,0.001055,0.05
2016-02-23,260.51,0.001445,0.05
2016-02-24,257.48,0.001717,0.05
2016-02-25,257.05,0.00039,0.05
2016-02-26,257.77,0.000511,0.05
2016-02-27,258.09,0.001051,0.05
2016-02-28,258.28,0.00298,0.05
2016-02-29,258.37,0.001404,0.05
2016-03-01,258.27,0.00055,0.05
2016-03-02,259.89,0.000473,0.05
2016-03-03,260.1,0.000304,0.05
2016-03-04,260.12,0.000621,0.05
2016-03-05,260.2,0.000906,0.05
2016-03-06,259.97,0.000639,0.05
2016-03-07,259.59,0.000826,0.05
2016-03-08,259.66,0.00162,0.05
2016-03-09,259.96,0.000436,0.05
2016-03-10,261.34,0.000534,0.05
2016-03-11,262.56,0.000578,0.05
2016-03-12,262.25,0.001376,0.05
2016-03-13,261.47,0.004293,0.05
2016-03-14,259.35,0.00347,0.05
2016-03-15,259.15,0.002604,0.05
