date,ndwi_mean,lake_area_km2,green_mean,red_mean,nir_mean,cloud_fraction,n_valid_pixels
2016-02-13,-0.0581,0.4109,3570.5,3676.6,3735.6,0.0,20000
2016-04-13,-0.2592,1.73,2098.4,2262.8,2445.0,0.0,20000
2016-11-19,-0.0854,2.4293,1741.7,1794.8,1802.7,0.0099,20000
2016-12-09,-0.0835,2.5748,1551.6,1602.3,1615.7,0.0008,20000
2016-12-29,-0.1265,2.3815,1459.4,1527.6,1562.2,0.0001,20000
2017-01-18,-0.0389,2.0373,2269.1,2304.4,2317.1,0.001,20000
2017-02-07,-0.0349,0.5985,4061.9,4140.8,4026.5,0.0,20000
2017-02-07,-0.0274,0.6355,4065.1,4138.2,4019.2,0.0,20000
2017-02-17,-0.0595,1.3789,2906.2,2982.9,2954.2,0.0,20000
2017-11-19,-0.0771,2.1838,1604.1,1652.8,1725.0,0.0083,20000
2017-12-09,-0.0984,2.2086,1440.0,1496.2,1569.5,0.0,20000
2017-12-14,-0.1133,2.2378,1361.0,1430.8,1495.7,0.0092,20000
2017-12-29,-0.114,2.4774,1326.9,1382.7,1439.0,0.0,20000
2018-01-03,0.0032,1.2792,4166.8,4201.9,4214.8,0.0042,20000
2018-01-08,-0.0962,2.0264,1520.2,1565.6,1644.1,0.0,20000
2018-01-18,-0.1168,2.3442,1395.8,1436.8,1508.9,0.0005,20000
2018-01-23,-0.1262,2.2775,1406.2,1457.1,1519.7,0.0,20000
2018-03-19,-0.0954,0.7642,3532.3,3616.5,3697.5,0.0,20000
2018-10-30,-0.1052,1.8189,1630.1,1709.8,1830.7,0.0012,20000
2018-11-09,-0.1379,2.0525,1409.5,1504.6,1615.9,0.0001,20000
2018-12-14,NaN,NaN,NaN,NaN,NaN,0.8681,0
2018-12-19,-0.0369,2.3356,1949.0,1966.8,2015.4,0.0,20000
2018-12-24,-0.0887,2.1997,1433.7,1458.5,1516.0,0.0393,20000
2018-12-24,-0.09,2.3654,1433.5,1458.7,1516.4,0.0,20000
2018-12-29,-0.1301,2.2839,1398.6,1444.8,1511.9,0.0003,20000
2019-01-03,-0.0117,1.9915,2617.9,2557.7,2542.9,0.7678,20000
2019-01-08,-0.0056,0.2681,6305.8,6382.4,6390.4,0.0008,20000
2019-01-13,-0.0575,0.5567,3807.4,3868.8,3943.8,0.0091,20000
2019-01-18,-0.0993,0.6378,2765.4,2848.3,2940.5,0.0079,20000
2019-01-23,NaN,NaN,NaN,NaN,NaN,1.0,0
2019-01-28,NaN,NaN,NaN,NaN,NaN,0.8483,0
2019-02-02,0.0003,0.2137,7468.7,7543.1,7478.8,0.0226,20000
2019-02-07,NaN,NaN,NaN,NaN,NaN,1.0,0
2019-02-12,0.0559,0.6273,9009.3,8681.8,8068.2,0.6774,20000
2019-02-17,NaN,NaN,NaN,NaN,NaN,0.8986,0
2019-02-22,0.0367,0.1018,6070.6,5959.6,5574.5,0.2566,20000
2019-02-27,NaN,NaN,NaN,NaN,NaN,0.9945,0
2019-03-04,NaN,NaN,NaN,NaN,NaN,0.9295,0
2019-03-09,NaN,NaN,NaN,NaN,NaN,0.9615,0
2019-03-14,0.0525,0.0001,7271.4,6949.4,6558.7,0.6889,20000
2019-03-19,NaN,NaN,NaN,NaN,NaN,0.9202,0
2019-03-24,-0.0608,0.0635,5897.7,5981.1,5789.1,0.0,20000
2019-03-29,0.0406,0.0681,7078.5,6972.5,6375.0,0.5851,20000
2019-04-03,0.0146,0.042,6081.3,5975.7,5694.6,0.6745,20000
