date,ndwi_mean,lake_area_km2,green_mean,red_mean,nir_mean,cloud_fraction,n_valid_pixels
2016-01-14,-0.5417,0.0,681.4,735.6,2017.3,0.0807,20000
2016-02-13,-0.6035,0.0,602.1,661.7,2059.1,0.0,20000
2016-02-13,-0.5969,0.0,614.7,673.4,2065.1,0.0,20000
2016-04-13,-0.4751,0.0,876.9,879.2,2214.5,0.1203,20000
2016-04-26,-0.5916,0.0,493.9,525.2,1918.5,0.0,20000
2016-11-02,-0.7086,0.0,318.0,314.9,1848.9,0.0,20000
2016-11-02,-0.7144,0.0,312.1,311.7,1851.4,0.0,20000
2016-11-12,-0.6569,0.0,411.7,429.4,1842.2,0.0352,20000
2016-11-19,-0.6971,0.0,358.2,398.6,1974.6,0.0,20000
2016-11-19,-0.698,0.0,357.6,400.1,1976.6,0.0,20000
2016-11-22,-0.7123,0.0,292.9,338.6,1689.8,0.0,20000
2016-11-22,-0.6985,0.0,307.5,351.3,1696.0,0.0,20000
2016-12-09,-0.6851,0.0,348.3,398.8,1816.8,0.0,20000
2016-12-12,-0.6903,0.0,295.6,345.6,1559.7,0.0,20000
2016-12-29,-0.6836,0.0,361.2,423.7,1829.3,0.0,20000
2016-12-29,-0.6599,0.0,385.8,442.4,1818.7,0.0,20000
2017-01-18,-0.5785,0.0004,820.5,853.8,2139.5,0.0,20000
2017-01-18,-0.5655,0.0003,847.6,877.4,2153.1,0.0,20000
2017-02-07,-0.5857,0.0,692.5,741.5,2095.2,0.0,20000
2017-02-07,-0.5956,0.0,686.5,740.6,2103.5,0.0,20000
2017-02-07,-0.5927,0.0,684.0,735.5,2094.8,0.0,20000
2017-02-07,-0.596,0.0,686.0,740.3,2103.1,0.0,20000
2017-02-10,-0.6126,0.0,534.0,587.5,1735.5,0.0001,20000
2017-02-10,-0.6144,0.0,536.8,592.0,1741.6,0.0,20000
2017-03-02,-0.5588,0.0,559.1,611.8,1700.2,0.1123,20000
2017-04-11,-0.6407,0.0,403.0,484.8,1779.3,0.0,20000
2017-04-11,-0.5407,0.0,535.2,580.0,1781.0,0.0,20000
2017-11-02,-0.2917,0.0,2847.1,2818.0,3841.9,0.6454,20000
2017-11-04,-0.3042,0.0,2423.7,2352.2,3383.0,0.7311,20000
2017-11-12,-0.7156,0.0,307.6,311.6,1845.0,0.0,20000
2017-11-12,-0.7101,0.0,314.8,318.5,1848.3,0.0,20000
2017-11-17,-0.6338,0.0,843.4,866.6,2304.5,0.2291,20000
2017-11-19,-0.6849,0.0,395.6,412.9,2092.1,0.048,20000
2017-11-19,-0.6988,0.0,378.5,402.1,2093.6,0.0193,20000
2017-11-22,-0.7135,0.0,305.5,332.3,1786.2,0.0076,20000
2017-11-22,-0.6918,0.0,330.2,352.5,1793.0,0.0066,20000
2017-11-24,-0.4258,0.0,1745.6,1769.4,3038.2,0.4787,20000
2017-12-02,-0.706,0.0,298.6,333.5,1722.9,0.0,20000
2017-12-07,-0.6967,0.0,299.3,346.2,1650.3,0.0,20000
2017-12-09,-0.7135,0.0,338.8,385.8,1996.0,0.0,20000
2017-12-09,-0.7113,0.0,340.4,388.5,1990.5,0.0,20000
2017-12-12,-0.5889,0.0,989.3,1033.9,2152.5,0.518,20000
2017-12-14,-0.7034,0.0,346.7,399.9,1961.2,0.0,20000
2017-12-14,-0.7113,0.0,334.2,390.6,1936.5,0.0,20000
2017-12-22,-0.7028,0.0,292.2,334.8,1642.3,0.0,20000
2017-12-22,-0.7071,0.0,289.3,334.8,1647.9,0.0,20000
2017-12-27,-0.698,0.0,298.9,356.5,1647.5,0.0,20000
2017-12-29,-0.6948,0.0,360.1,410.1,1957.1,0.0,20000
2017-12-29,-0.7006,0.0,350.0,406.6,1941.3,0.0,20000
2018-01-03,-0.5674,0.0,1014.4,1050.6,2582.3,0.0,20000
2018-01-08,-0.6544,0.0,466.5,520.5,2061.4,0.0,20000
2018-01-08,-0.6476,0.0,478.8,532.1,2065.5,0.0,20000
2018-01-11,-0.6543,0.0,360.5,404.4,1682.1,0.0,20000
2018-01-16,-0.6229,0.0,474.5,533.3,1769.6,0.1051,20000
2018-01-18,-0.6877,0.0,377.3,440.8,1997.1,0.0,20000
2018-01-23,-0.7119,0.0,349.1,422.5,1973.8,0.0,20000
2018-01-23,-0.6892,0.0,375.1,443.7,1978.8,0.0,20000
2018-01-28,-0.6162,0.0,748.6,802.1,2340.9,0.0,20000
2018-02-05,-0.6318,0.0,409.9,474.0,1737.8,0.0,20000
2018-02-10,-0.668,0.0,354.3,418.7,1715.4,0.0,20000
2018-02-10,-0.6699,0.0,353.2,419.5,1718.5,0.0,20000
2018-02-15,-0.6621,0.0,359.0,430.3,1701.8,0.0,20000
2018-02-15,-0.6415,0.0,383.8,449.8,1706.5,0.0,20000
2018-03-07,-0.668,0.0,379.5,444.2,1776.4,0.0,20000
2018-03-07,-0.6574,0.0,391.8,454.1,1776.2,0.0,20000
2018-03-19,-0.6416,0.0,482.9,557.5,2174.0,0.0,20000
2018-03-19,-0.6001,0.0,544.9,601.1,2163.8,0.0,20000
2018-03-24,-0.2766,0.0,3564.7,3387.6,4203.4,0.6321,20000
2018-03-27,-0.6519,0.0,384.9,451.4,1783.1,0.0,20000
2018-03-27,-0.6144,0.0,430.9,486.6,1782.5,0.0,20000
2018-04-21,-0.6003,0.0,525.9,550.0,1998.1,0.0461,20000
2018-04-23,-0.5248,0.0,1160.5,1171.3,2816.1,0.2171,20000
2018-05-11,-0.6175,0.0,496.1,488.2,2114.9,0.0,20000
2018-06-10,NaN,NaN,NaN,NaN,NaN,0.994,0
2018-06-10,NaN,NaN,NaN,NaN,NaN,0.9783,0
2018-09-18,-0.5992,0.0,1024.0,886.8,2705.3,0.34,20000
2018-10-15,-0.5972,0.0,991.2,908.7,2821.0,0.24,20000
2018-10-18,-0.6055,0.0,822.8,778.9,2390.8,0.2212,20000
2018-10-30,-0.641,0.0,730.4,721.5,2358.7,0.1789,20000
2018-10-30,-0.6258,0.0,743.5,732.2,2366.5,0.1789,20000
2018-11-04,-0.7177,0.0,357.9,377.5,2150.7,0.0108,20000
2018-11-04,-0.7028,0.0,377.4,393.3,2149.9,0.0105,20000
2018-11-07,-0.7187,0.0,302.3,324.4,1829.2,0.0,20000
2018-11-07,-0.6951,0.0,329.4,346.0,1832.1,0.0,20000
2018-11-09,-0.676,0.0,550.3,573.7,2172.0,0.1568,20000
2018-11-09,-0.6598,0.0,561.2,580.9,2172.5,0.1573,20000
2018-11-17,-0.7092,0.0,295.8,321.5,1720.5,0.0,20000
2018-11-17,-0.7058,0.0,300.2,326.5,1725.2,0.0,20000
2018-11-22,-0.7479,0.0,253.8,298.1,1667.7,0.0228,20000
2018-11-22,-0.7085,0.0,291.7,328.4,1677.8,0.0,20000
2018-11-27,-0.7151,0.0,280.2,318.3,1642.0,0.0,20000
2018-11-27,-0.6905,0.0,305.8,339.0,1652.0,0.0,20000
2018-11-29,-0.7018,0.0,339.0,383.0,1888.5,0.0,20000
2018-11-29,-0.6964,0.0,344.5,388.6,1888.7,0.0,20000
2018-12-09,-0.5186,0.0,1162.0,1195.8,2436.7,0.4369,20000
2018-12-09,-0.5011,0.0,1140.8,1175.7,2421.6,0.4058,20000
2018-12-14,-0.5252,0.0005,1148.1,1165.7,2608.0,0.0816,20000
2018-12-14,-0.5276,0.0,1077.3,1097.4,2468.4,0.1695,20000
2018-12-17,NaN,NaN,NaN,NaN,NaN,0.96,0
2018-12-17,NaN,NaN,NaN,NaN,NaN,0.9601,0
2018-12-19,-0.6866,0.0,372.1,421.8,1890.0,0.0,20000
2018-12-19,-0.6743,0.0,382.8,430.0,1873.1,0.0,20000
2018-12-22,-0.6298,0.0,524.2,575.9,1697.0,0.3262,20000
2018-12-22,-0.5817,0.0,555.9,597.7,1708.3,0.2708,20000
2018-12-24,-0.312,0.0,1616.4,1649.9,2962.5,0.0004,20000
2018-12-24,-0.3242,0.0,1559.9,1607.3,2922.9,0.0003,20000
2018-12-24,NaN,NaN,NaN,NaN,NaN,1.0,0
2018-12-24,-0.3641,0.0,1381.2,1412.0,2818.7,0.0003,20000
2018-12-27,-0.4094,0.0,2089.9,2088.5,2978.7,0.5492,20000
2018-12-27,-0.3824,0.0,2013.7,2019.9,2922.4,0.545,20000
2018-12-29,-0.5941,0.0,833.7,881.6,2327.3,0.0047,20000
2018-12-29,-0.5771,0.0,851.1,893.7,2312.4,0.0,20000
2019-01-01,-0.6651,0.0,339.5,398.0,1593.2,0.0,20000
2019-01-01,-0.6226,0.0,384.2,431.1,1585.4,0.0,20000
2019-01-03,-0.5626,0.0,704.3,728.5,2002.6,0.2949,20000
2019-01-03,-0.5728,0.0007,668.0,699.1,1910.5,0.1535,20000
2019-01-06,-0.6202,0.0,1088.3,1144.9,2132.8,0.4606,20000
2019-01-06,-0.5986,0.0,1190.0,1229.1,2180.7,0.1885,20000
2019-01-08,-0.4675,0.0003,1447.9,1458.5,2758.9,0.0149,20000
2019-01-08,-0.4873,0.0003,1422.7,1451.7,2772.9,0.0034,20000
2019-01-11,-0.4132,0.011,1364.7,1357.8,2287.7,0.3591,20000
2019-01-11,-0.3784,0.0044,1363.1,1354.7,2268.8,0.3392,20000
2019-01-13,-0.6079,0.0003,682.2,726.2,2117.7,0.0,20000
2019-01-13,-0.6121,0.0002,683.3,730.4,2124.4,0.0,20000
2019-01-16,-0.6587,0.0,394.7,451.5,1563.2,0.0187,20000
2019-01-16,-0.6202,0.0,467.8,511.5,1664.3,0.0,20000
2019-01-18,-0.5522,0.0,1214.2,1233.6,2335.1,0.3352,20000
2019-01-18,-0.5107,0.0,1209.6,1224.0,2316.6,0.3298,20000
2019-01-21,-0.4892,0.0,1063.7,1106.6,2110.1,0.4219,20000
2019-01-21,-0.4951,0.0,982.3,1027.2,2006.6,0.3315,20000
2019-01-23,NaN,NaN,NaN,NaN,NaN,0.9997,0
2019-01-23,NaN,NaN,NaN,NaN,NaN,0.9997,0
2019-01-26,NaN,NaN,NaN,NaN,NaN,0.9983,0
2019-01-26,NaN,NaN,NaN,NaN,NaN,0.9983,0
2019-01-28,-0.1993,0.0,4567.6,4434.7,4958.6,0.7167,20000
2019-01-28,-0.2742,0.0,4003.6,4025.5,4697.1,0.717,20000
2019-01-31,-0.0928,0.0,3192.6,3136.2,3756.3,0.6415,20000
2019-01-31,-0.1726,0.0,2686.5,2766.9,3558.9,0.6414,20000
2019-02-02,-0.5204,0.0042,1154.6,1165.5,2349.1,0.247,20000
2019-02-02,-0.5242,0.0053,1166.4,1176.9,2366.4,0.1818,20000
2019-02-05,-0.614,0.0,776.5,809.3,1919.7,0.0426,20000
2019-02-05,-0.5803,0.0,852.1,876.2,2017.5,0.0,20000
2019-02-07,NaN,NaN,NaN,NaN,NaN,0.9907,0
2019-02-07,NaN,NaN,NaN,NaN,NaN,0.9906,0
2019-02-10,-0.3053,0.0,2589.9,2573.8,3529.8,0.028,20000
2019-02-10,-0.3648,0.0,2578.4,2578.0,3574.1,0.0,20000
2019-02-12,-0.376,0.0,2259.9,2210.6,3383.8,0.1139,20000
2019-02-12,-0.4258,0.0,2076.4,2082.7,3305.9,0.1014,20000
2019-02-15,NaN,NaN,NaN,NaN,NaN,1.0,0
2019-02-15,NaN,NaN,NaN,NaN,NaN,1.0,0
2019-02-17,-0.1813,0.1818,3208.8,3067.9,3865.7,0.4692,20000
2019-02-17,-0.2959,0.0264,2849.9,2824.4,3729.5,0.4695,20000
2019-02-20,-0.4301,0.0,2006.1,2003.1,3043.8,0.0706,20000
2019-02-20,-0.4411,0.0,1943.8,1958.9,3009.4,0.0625,20000
