date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,255.43,0.21,1
2016-01-02,NaN,NaN,0
2016-01-03,NaN,NaN,0
2016-01-04,256.1,0.74,1
2016-01-05,257.03,1.62,1
2016-01-06,250.38,-5.08,1
2016-01-07,NaN,NaN,0
2016-01-08,254.94,-0.64,1
2016-01-09,254.87,-0.77,1
2016-01-10,253.62,-2.09,1
2016-01-11,254.23,-1.55,1
2016-01-12,NaN,NaN,0
2016-01-13,259.2,3.27,1
2016-01-14,251.31,-4.7,1
2016-01-15,250.18,-5.91,1
2016-01-16,NaN,NaN,0
2016-01-17,NaN,NaN,0
2016-01-18,259.55,3.19,1
2016-01-19,252.89,-3.56,1
2016-01-20,NaN,NaN,0
2016-01-21,258.27,1.62,1
2016-01-22,254.08,-2.67,1
2016-01-23,261.29,4.43,1
2016-01-24,257.95,0.98,1
2016-01-25,NaN,NaN,0
2016-01-26,255.57,-1.63,1
2016-01-27,NaN,NaN,0
2016-01-28,255.39,-2.04,1
2016-01-29,258.62,1.06,1
2016-01-30,NaN,NaN,0
2016-01-31,259.8,1.99,1
2016-02-01,256.1,-1.84,1
2016-02-02,NaN,NaN,0
2016-02-03,255.38,-2.83,1
2016-02-04,NaN,NaN,0
2016-02-05,256.64,-1.85,1
2016-02-06,257.53,-1.1,1
2016-02-07,261.88,3.1,1
2016-02-08,265.98,7.05,1
2016-02-09,258.17,-0.91,1
2016-02-10,257.74,-1.49,1
2016-02-11,257.79,-1.6,1
2016-02-12,257.01,-2.53,1
2016-02-13,260.87,1.17,1
2016-02-14,NaN,NaN,0
2016-02-15,262.03,2.01,1
2016-02-16,NaN,NaN,0
2016-02-17,257.37,-2.98,1
2016-02-18,256.71,-3.81,1
2016-02-19,NaN,NaN,0
2016-02-20,263.12,2.26,1
2016-02-21,261.34,0.3,1
2016-02-22,258.64,-2.57,1
2016-02-23,262.58,1.19,1
2016-02-24,262.45,0.88,1
2016-02-25,259.35,-2.4,1
2016-02-26,262.31,0.38,1
2016-02-27,263.21,1.1,1
2016-02-28,262.97,0.68,1
2016-02-29,NaN,NaN,0
2016-03-01,NaN,NaN,0
2016-03-02,263.92,1.07,1
2016-03-03,262.91,-0.13,1
2016-03-04,267.43,4.2,1
2016-03-05,NaN,NaN,0
2016-03-06,262.51,-1.1,1
2016-03-07,NaN,NaN,0
2016-03-08,267.66,3.66,1
2016-03-09,266.61,2.42,1
2016-03-10,261.26,-3.12,1
2016-03-11,262.65,-1.93,1
2016-03-12,260.86,-3.91,1
2016-03-13,NaN,NaN,0
2016-03-14,265.11,-0.06,1
2016-03-15,NaN,NaN,0
2016-03-16,263.82,-1.74,1
2016-03-17,NaN,NaN,0
2016-03-18,266.55,0.59,1
2016-03-19,263.29,-2.86,1
2016-03-20,NaN,NaN,0
2016-03-21,269.52,2.97,1
2016-03-22,266.71,-0.04,1
2016-03-23,266.35,-0.6,1
2016-03-24,264.07,-3.07,1
2016-03-25,265.39,-1.95,1
2016-03-26,264.32,-3.22,1
2016-03-27,272.27,4.54,1
2016-03-28,269.67,1.74,1
2016-03-29,267.25,-0.88,1
2016-03-30,267.43,-0.89,1
2016-03-31,266.72,-1.8,1
