date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,NaN,NaN,0
2016-01-02,262.4,7.13,1
2016-01-03,NaN,NaN,0
2016-01-04,251.86,-3.5,1
2016-01-05,257.88,2.47,1
2016-01-06,NaN,NaN,0
2016-01-07,254.59,-0.93,1
2016-01-08,NaN,NaN,0
2016-01-09,261.03,5.39,1
2016-01-10,251.96,-3.75,1
2016-01-11,258.08,2.3,1
2016-01-12,255.12,-0.73,1
2016-01-13,258.52,2.59,1
2016-01-14,248.5,-7.51,1
2016-01-15,NaN,NaN,0
2016-01-16,NaN,NaN,0
2016-01-17,253.19,-3.07,1
2016-01-18,257.6,1.24,1
2016-01-19,259.06,2.61,1
2016-01-20,249.97,-6.58,1
2016-01-21,256.83,0.18,1
2016-01-22,256.05,-0.7,1
2016-01-23,261.1,4.24,1
2016-01-24,260.85,3.88,1
2016-01-25,252.82,-4.26,1
2016-01-26,NaN,NaN,0
2016-01-27,NaN,NaN,0
2016-01-28,259.49,2.06,1
2016-01-29,256.6,-0.96,1
2016-01-30,258.72,1.04,1
2016-01-31,257.12,-0.69,1
2016-02-01,257.12,-0.82,1
2016-02-02,249.84,-8.24,1
2016-02-03,257.27,-0.94,1
2016-02-04,253.05,-5.3,1
2016-02-05,263.7,5.21,1
2016-02-06,254.55,-4.08,1
2016-02-07,260.01,1.23,1
2016-02-08,258.41,-0.52,1
2016-02-09,NaN,NaN,0
2016-02-10,255.43,-3.8,1
2016-02-11,262.46,3.07,1
2016-02-12,257.05,-2.49,1
2016-02-13,264.23,4.53,1
2016-02-14,NaN,NaN,0
2016-02-15,256.51,-3.51,1
2016-02-16,264.61,4.42,1
2016-02-17,NaN,NaN,0
2016-02-18,257.86,-2.66,1
2016-02-19,265.99,5.3,1
2016-02-20,260.78,-0.08,1
2016-02-21,261.44,0.4,1
2016-02-22,258.45,-2.76,1
2016-02-23,252.12,-9.27,1
2016-02-24,NaN,NaN,0
2016-02-25,258.82,-2.93,1
2016-02-26,260.51,-1.42,1
2016-02-27,258.67,-3.44,1
2016-02-28,255.96,-6.33,1
2016-02-29,261.26,-1.22,1
2016-03-01,262.55,-0.12,1
2016-03-02,265.12,2.27,1
2016-03-03,256.69,-6.35,1
2016-03-04,264.99,1.76,1
2016-03-05,264.71,1.29,1
2016-03-06,264.98,1.37,1
2016-03-07,271.65,7.85,1
2016-03-08,257.92,-6.08,1
2016-03-09,265.31,1.12,1
2016-03-10,262.65,-1.73,1
2016-03-11,NaN,NaN,0
2016-03-12,263.1,-1.67,1
2016-03-13,NaN,NaN,0
2016-03-14,269.91,4.74,1
2016-03-15,264.37,-0.99,1
2016-03-16,NaN,NaN,0
2016-03-17,265.27,-0.49,1
2016-03-18,266.27,0.31,1
2016-03-19,267.62,1.47,1
2016-03-20,NaN,NaN,0
2016-03-21,267.71,1.16,1
2016-03-22,264.54,-2.21,1
2016-03-23,265.87,-1.08,1
2016-03-24,268.0,0.86,1
2016-03-25,266.94,-0.4,1
2016-03-26,266.39,-1.15,1
2016-03-27,272.83,5.1,1
2016-03-28,NaN,NaN,0
2016-03-29,267.21,-0.92,1
2016-03-30,NaN,NaN,0
