date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,256.89,1.67,1
2016-01-02,253.98,-1.29,1
2016-01-03,254.36,-0.95,1
2016-01-04,NaN,NaN,0
2016-01-05,255.17,-0.24,1
2016-01-06,254.23,-1.23,1
2016-01-07,257.16,1.64,1
2016-01-08,257.01,1.43,1
2016-01-09,259.65,4.01,1
2016-01-10,253.24,-2.47,1
2016-01-11,250.46,-5.32,1
2016-01-12,252.1,-3.75,1
2016-01-13,254.6,-1.33,1
2016-01-14,258.36,2.35,1
2016-01-15,255.6,-0.49,1
2016-01-16,257.64,1.46,1
2016-01-17,251.65,-4.61,1
2016-01-18,255.03,-1.33,1
2016-01-19,253.32,-3.13,1
2016-01-20,NaN,NaN,0
2016-01-21,254.64,-2.01,1
2016-01-22,256.62,-0.13,1
2016-01-23,256.49,-0.37,1
2016-01-24,260.08,3.11,1
2016-01-25,258.19,1.11,1
2016-01-26,254.33,-2.87,1
2016-01-27,255.65,-1.66,1
2016-01-28,NaN,NaN,0
2016-01-29,NaN,NaN,0
2016-01-30,256.12,-1.56,1
2016-01-31,260.92,3.11,1
2016-02-01,258.56,0.62,1
2016-02-02,259.98,1.9,1
2016-02-03,259.51,1.3,1
2016-02-04,257.72,-0.63,1
2016-02-05,257.62,-0.87,1
2016-02-06,256.88,-1.75,1
2016-02-07,259.62,0.84,1
2016-02-08,261.75,2.82,1
2016-02-09,258.45,-0.63,1
2016-02-10,255.48,-3.75,1
2016-02-11,261.19,1.8,1
2016-02-12,262.03,2.49,1
2016-02-13,259.95,0.25,1
2016-02-14,255.27,-4.59,1
2016-02-15,257.17,-2.85,1
2016-02-16,259.2,-0.99,1
2016-02-17,262.29,1.94,1
2016-02-18,263.85,3.33,1
2016-02-19,261.94,1.25,1
2016-02-20,259.97,-0.89,1
2016-02-21,260.82,-0.22,1
2016-02-22,263.13,1.92,1
2016-02-23,260.85,-0.54,1
2016-02-24,260.74,-0.83,1
2016-02-25,NaN,NaN,0
2016-02-26,NaN,NaN,0
2016-02-27,260.4,-1.71,1
2016-02-28,264.88,2.59,1
2016-02-29,261.06,-1.42,1
2016-03-01,262.9,0.23,1
2016-03-02,265.89,3.04,1
2016-03-03,260.45,-2.59,1
2016-03-04,262.82,-0.41,1
2016-03-05,258.39,-5.03,1
2016-03-06,264.81,1.2,1
2016-03-07,263.81,0.01,1
2016-03-08,265.09,1.09,1
2016-03-09,260.05,-4.14,1
2016-03-10,269.65,5.27,1
2016-03-11,263.21,-1.37,1
2016-03-12,266.38,1.61,1
2016-03-13,NaN,NaN,0
2016-03-14,NaN,NaN,0
2016-03-15,NaN,NaN,0
2016-03-16,267.08,1.52,1
2016-03-17,270.44,4.68,1
2016-03-18,265.43,-0.53,1
2016-03-19,267.57,1.42,1
2016-03-20,NaN,NaN,0
2016-03-21,266.92,0.37,1
2016-03-22,267.03,0.28,1
2016-03-23,266.04,-0.91,1
2016-03-24,267.19,0.05,1
2016-03-25,266.72,-0.62,1
2016-03-26,269.13,1.59,1
2016-03-27,266.06,-1.67,1
2016-03-28,271.92,3.99,1
2016-03-29,270.0,1.87,1
2016-03-30,266.17,-2.15,1
2016-03-31,268.81,0.29,1
2016-04-01,270.16,1.45,1
2016-04-02,268.53,-0.38,1
