date,lst_kelvin,lst_anomaly_kelvin,qa_passed
2016-01-01,252.48,-2.74,1
2016-01-02,255.08,-0.19,1
2016-01-03,NaN,NaN,0
2016-01-04,252.71,-2.65,1
2016-01-05,251.03,-4.38,1
2016-01-06,255.58,0.12,1
2016-01-07,256.8,1.28,1
2016-01-08,NaN,NaN,0
2016-01-09,NaN,NaN,0
2016-01-10,257.77,2.06,1
2016-01-11,253.92,-1.86,1
2016-01-12,252.61,-3.24,1
2016-01-13,NaN,NaN,0
2016-01-14,256.07,0.06,1
2016-01-15,259.02,2.93,1
2016-01-16,256.59,0.41,1
2016-01-17,NaN,NaN,0
2016-01-18,258.15,1.79,1
2016-01-19,256.86,0.41,1
2016-01-20,259.24,2.69,1
2016-01-21,253.26,-3.39,1
2016-01-22,254.49,-2.26,1
2016-01-23,253.32,-3.54,1
2016-01-24,257.46,0.49,1
2016-01-25,258.68,1.6,1
2016-01-26,260.66,3.46,1
2016-01-27,255.45,-1.86,1
2016-01-28,261.91,4.48,1
2016-01-29,260.82,3.26,1
2016-01-30,NaN,NaN,0
2016-01-31,254.14,-3.67,1
2016-02-01,258.81,0.87,1
2016-02-02,262.87,4.79,1
2016-02-03,258.38,0.17,1
2016-02-04,256.29,-2.06,1
2016-02-05,257.86,-0.63,1
2016-02-06,NaN,NaN,0
2016-02-07,259.86,1.08,1
2016-02-08,261.59,2.66,1
2016-02-09,258.32,-0.76,1
2016-02-10,256.46,-2.77,1
2016-02-11,NaN,NaN,0
2016-02-12,259.55,0.01,1
2016-02-13,258.44,-1.26,1
2016-02-14,259.63,-0.23,1
2016-02-15,254.04,-5.98,1
2016-02-16,261.01,0.82,1
2016-02-17,NaN,NaN,0
2016-02-18,258.25,-2.27,1
2016-02-19,260.64,-0.05,1
2016-02-20,262.39,1.53,1
2016-02-21,261.96,0.92,1
2016-02-22,260.52,-0.69,1
2016-02-23,261.52,0.13,1
2016-02-24,260.69,-0.88,1
2016-02-25,259.44,-2.31,1
2016-02-26,262.27,0.34,1
2016-02-27,261.52,-0.59,1
2016-02-28,262.72,0.43,1
2016-02-29,258.33,-4.15,1
2016-03-01,260.83,-1.84,1
2016-03-02,262.31,-0.54,1
2016-03-03,261.07,-1.97,1
2016-03-04,264.41,1.18,1
2016-03-05,NaN,NaN,0
2016-03-06,261.98,-1.63,1
2016-03-07,265.27,1.47,1
2016-03-08,262.62,-1.38,1
2016-03-09,263.34,-0.85,1
2016-03-10,263.88,-0.5,1
2016-03-11,262.29,-2.29,1
2016-03-12,267.39,2.62,1
2016-03-13,269.07,4.1,1
2016-03-14,264.52,-0.65,1
2016-03-15,266.71,1.35,1
2016-03-16,267.28,1.72,1
2016-03-17,NaN,NaN,0
2016-03-18,267.33,1.37,1
2016-03-19,267.7,1.55,1
2016-03-20,265.98,-0.37,1
2016-03-21,NaN,NaN,0
2016-03-22,270.29,3.54,1
2016-03-23,268.78,1.83,1
2016-03-24,NaN,NaN,0
2016-03-25,NaN,NaN,0
2016-03-26,268.0,0.46,1
2016-03-27,NaN,NaN,0
2016-03-28,NaN,NaN,0
2016-03-29,266.94,-1.19,1
2016-03-30,NaN,NaN,0
2016-03-31,266.93,-1.59,1
2016-04-01,269.23,0.52,1
2016-04-02,267.21,-1.7,1
2016-04-03,274.87,5.77,1
2016-04-04,270.37,1.08,1
2016-04-05,272.15,2.67,1
2016-04-06,276.15,6.47,1
2016-04-07,267.58,-2.28,1
2016-04-08,272.93,2.88,1
2016-04-09,273.5,3.26,1
2016-04-10,271.33,0.9,1
2016-04-11,273.71,3.1,1
2016-04-12,NaN,NaN,0
2016-04-13,NaN,NaN,0
2016-04-14,267.25,-3.91,1
2016-04-15,273.31,1.97,1
2016-04-16,271.98,0.46,1
2016-04-17,268.36,-3.34,1
2016-04-18,272.37,0.5,1
2016-04-19,273.73,1.68,1
2016-04-20,271.31,-0.91,1
2016-04-21,273.25,0.86,1
2016-04-22,NaN,NaN,0
2016-04-23,283.65,10.92,1
2016-04-24,278.59,5.7,1
2016-04-25,268.83,-4.23,1
2016-04-26,272.03,-1.19,1
2016-04-27,273.08,-0.3,1
2016-04-28,274.23,0.69,1
2016-04-29,NaN,NaN,0
2016-04-30,273.07,-0.78,1
2016-05-01,274.11,0.11,1
2016-05-02,268.54,-5.61,1
2016-05-03,271.79,-2.5,1
2016-05-04,275.2,0.76,1
2016-05-05,276.43,1.85,1
2016-05-06,274.32,-0.4,1
2016-05-07,277.41,2.55,1
2016-05-08,281.02,6.03,1
2016-05-09,NaN,NaN,0
2016-05-10,278.37,3.12,1
2016-05-11,275.2,-0.18,1
2016-05-12,276.8,1.3,1
2016-05-13,276.11,0.48,1
2016-05-14,272.33,-3.42,1
2016-05-15,NaN,NaN,0
2016-05-16,270.37,-5.61,1
2016-05-17,278.3,2.21,1
2016-05-18,279.27,3.08,1
2016-05-19,276.02,-0.28,1
2016-05-20,274.2,-2.2,1
2016-05-21,277.39,0.89,1
2016-05-22,275.72,-0.88,1
2016-05-23,272.42,-4.27,1
2016-05-24,274.61,-2.17,1
2016-05-25,275.56,-1.31,1
2016-05-26,281.71,4.76,1
2016-05-27,NaN,NaN,0
2016-05-28,NaN,NaN,0
2016-05-29,273.56,-3.63,1
2016-05-30,279.98,2.72,1
2016-05-31,277.14,-0.19,1
2016-06-01,276.93,-0.46,1
2016-06-02,274.12,-3.33,1
2016-06-03,275.21,-2.3,1
2016-06-04,273.68,-3.89,1
2016-06-05,276.02,-1.6,1
2016-06-06,276.82,-0.85,1
2016-06-07,NaN,NaN,0
2016-06-08,280.54,2.78,1
2016-06-09,278.53,0.74,1
2016-06-10,281.05,3.22,1
2016-06-11,279.53,1.67,1
2016-06-12,274.16,-3.73,1
2016-06-13,275.72,-2.2,1
2016-06-14,277.99,0.05,1
2016-06-15,283.86,5.9,1
2016-06-16,279.18,1.21,1
2016-06-17,284.63,6.65,1
2016-06-18,274.67,-3.32,1
2016-06-19,278.11,0.11,1
2016-06-20,274.28,-3.72,1
2016-06-21,NaN,NaN,0
2016-06-22,276.43,-1.56,1
2016-06-23,277.32,-0.66,1
2016-06-24,276.61,-1.36,1
2016-06-25,278.58,0.62,1
2016-06-26,278.64,0.7,1
2016-06-27,280.6,2.68,1
2016-06-28,278.15,0.26,1
2016-06-29,277.27,-0.59,1
2016-06-30,278.96,1.13,1
2016-07-01,278.03,0.24,1
2016-07-02,279.84,2.08,1
2016-07-03,276.23,-1.48,1
2016-07-04,274.77,-2.9,1
2016-07-05,277.87,0.25,1
2016-07-06,NaN,NaN,0
2016-07-07,NaN,NaN,0
2016-07-08,NaN,NaN,0
2016-07-09,276.26,-1.13,1
2016-07-10,275.85,-1.48,1
2016-07-11,276.91,-0.35,1
2016-07-12,276.04,-1.15,1
2016-07-13,NaN,NaN,0
2016-07-14,281.85,4.82,1
2016-07-15,273.86,-3.09,1
2016-07-16,NaN,NaN,0
2016-07-17,NaN,NaN,0
2016-07-18,275.79,-0.9,1
2016-07-19,NaN,NaN,0
2016-07-20,275.36,-1.14,1
2016-07-21,273.42,-2.98,1
2016-07-22,279.91,3.61,1
2016-07-23,272.57,-3.62,1
2016-07-24,273.74,-2.35,1
2016-07-25,275.99,0.01,1
2016-07-26,274.34,-1.52,1
2016-07-27,277.83,2.08,1
2016-07-28,274.36,-1.27,1
2016-07-29,271.3,-4.2,1
2016-07-30,273.75,-1.63,1
2016-07-31,274.22,-1.03,1
2016-08-01,278.61,3.49,1
2016-08-02,273.18,-1.81,1
2016-08-03,268.24,-6.62,1
2016-08-04,274.91,0.19,1
2016-08-05,275.1,0.52,1
2016-08-06,276.99,2.55,1
2016-08-07,272.64,-1.65,1
2016-08-08,279.26,5.11,1
2016-08-09,NaN,NaN,0
2016-08-10,276.49,2.64,1
2016-08-11,275.12,1.43,1
2016-08-12,274.27,0.73,1
2016-08-13,269.28,-4.1,1
2016-08-14,273.71,0.49,1
2016-08-15,273.84,0.78,1
2016-08-16,274.06,1.17,1
2016-08-17,273.89,1.16,1
2016-08-18,273.56,1.0,1
2016-08-19,NaN,NaN,0
2016-08-20,271.61,-0.61,1
2016-08-21,272.72,0.67,1
