date,lst_day_kelvin,lst_anomaly_kelvin,qa_flag
2016-01-01,283.54,12.48,1
2016-01-02,274.46,4.13,1
2016-01-03,283.45,15.06,1
2016-01-04,281.75,10.2,1
2016-01-06,282.4,10.89,1
2016-01-07,282.75,10.1,1
2016-01-08,280.77,9.7,1
2016-01-09,263.0,-8.38,1
2016-01-10,279.32,9.43,1
2016-01-11,279.41,6.2,1
2016-01-12,284.56,11.51,1
2016-01-13,280.77,7.78,1
2016-01-14,283.39,10.62,1
2016-01-15,276.19,4.87,1
2016-01-16,281.99,9.06,1
2016-01-17,283.98,13.11,1
2016-01-18,278.3,5.57,1
2016-01-21,275.59,3.49,1
2016-01-22,271.99,-0.51,1
2016-01-23,276.09,2.45,1
2016-01-24,275.71,5.54,1
2016-01-25,277.01,4.93,1
2016-01-26,263.98,-7.1,1
2016-01-27,274.47,4.71,1
2016-01-28,281.75,9.31,1
2016-01-29,283.52,12.02,1
2016-01-30,280.29,8.79,1
2016-01-31,279.48,7.31,1
2016-02-01,284.87,12.7,1
2016-02-02,286.19,14.53,1
2016-02-03,280.15,5.98,1
2016-02-04,288.64,14.08,1
2016-02-05,287.03,13.81,1
2016-02-07,283.32,11.6,1
2016-02-09,277.57,6.46,1
2016-02-10,281.1,8.93,1
2016-02-11,277.55,3.3,1
2016-02-12,278.91,4.59,1
2016-02-13,281.71,6.87,1
2016-02-14,282.12,8.22,1
2016-02-15,284.1,9.2,1
2016-02-16,277.96,4.15,1
2016-02-17,287.77,12.33,1
2016-02-18,285.41,9.36,1
2016-02-28,277.16,0.3,1
2016-02-29,280.53,4.73,1
2016-03-01,275.39,-2.37,1
2016-03-02,286.51,9.02,1
2016-03-03,283.23,4.16,1
2016-03-04,285.39,9.28,1
2016-03-05,280.53,4.55,1
2016-03-06,276.74,1.69,1
2016-03-07,274.25,-4.29,1
2016-03-08,278.17,0.99,1
2016-03-09,278.16,1.12,1
2016-03-10,285.09,6.87,1
2016-03-11,275.77,-2.01,1
2016-03-12,272.51,-4.7,1
2016-03-16,268.99,-8.47,1
2016-03-17,270.73,-7.02,1
2016-03-18,279.45,1.28,1
2016-03-19,282.59,3.46,1
2016-03-20,273.78,-4.16,1
2016-03-21,281.52,1.62,1
2016-03-22,282.72,4.32,1
2016-03-23,286.48,7.92,1
2016-03-24,288.6,7.22,1
2016-03-25,295.19,15.34,1
2016-03-27,278.34,-3.14,1
2016-03-29,277.51,-4.12,1
2016-03-30,273.02,-8.97,1
2016-04-01,282.86,1.8,1
2016-04-02,287.77,7.37,1
2016-04-03,292.02,11.38,1
2016-04-04,283.3,2.9,1
2016-04-05,290.49,7.33,1
2016-04-06,283.88,1.75,1
2016-04-08,281.95,0.05,1
2016-04-09,286.2,3.52,1
2016-04-10,287.14,4.39,1
2016-04-11,274.66,-7.68,1
2016-04-12,291.9,8.12,1
2016-04-13,294.04,10.24,1
2016-04-14,289.8,5.8,1
2016-04-15,298.46,14.37,1
2016-04-16,291.44,9.34,1
2016-04-18,288.08,3.93,1
2016-04-20,291.39,6.94,1
2016-04-21,298.15,13.27,1
2016-04-22,294.45,10.77,1
2016-04-24,287.96,3.98,1
2016-04-25,287.21,2.08,1
2016-04-27,294.22,9.72,1
2016-04-28,287.9,3.82,1
2016-04-29,294.96,8.74,1
2016-04-30,284.91,-0.38,1
2016-05-01,293.6,9.21,1
2016-05-03,295.27,11.07,1
2016-05-05,267.56,-15.23,1
2016-05-06,279.8,-3.72,1
2016-05-08,288.15,3.07,1
2016-05-10,281.01,-3.67,1
2016-05-11,271.97,-12.95,1
2016-05-12,277.17,-6.43,1
2016-05-13,273.8,-9.98,1
2016-05-14,298.15,12.64,1
2016-05-15,288.6,4.89,1
2016-05-16,301.14,15.48,1
2016-05-17,293.86,8.14,1
2016-05-18,292.78,5.08,1
2016-05-19,304.14,20.77,1
2016-05-22,295.22,9.36,1
2016-05-23,299.26,11.46,1
2016-05-24,281.38,-2.69,1
2016-05-26,290.11,6.28,1
2016-05-27,281.96,-4.32,1
2016-05-28,285.51,0.83,1
2016-05-30,277.99,-8.41,1
2016-05-31,275.03,-11.23,1
2016-06-01,297.34,11.08,1
2016-06-02,296.2,9.64,1
2016-06-03,284.87,-1.29,1
2016-06-04,293.19,3.7,1
2016-06-05,280.26,-8.18,1
2016-06-06,272.65,-13.69,1
2016-06-07,289.57,1.53,1
2016-06-08,280.45,-9.3,1
2016-06-09,297.45,7.69,1
2016-06-11,293.87,7.55,1
2016-06-13,290.66,4.13,1
2016-06-14,279.81,-5.56,1
2016-06-15,280.59,-4.45,1
2016-06-17,268.32,-16.26,1
2016-06-18,274.57,-9.5,1
2016-06-21,271.44,-11.87,1
2016-06-22,269.21,-14.08,1
2016-06-23,279.41,-6.31,1
2016-06-24,267.54,-18.5,1
2016-06-25,283.5,-2.52,1
2016-06-27,273.03,-10.45,1
2016-06-28,273.79,-9.98,1
2016-06-29,279.03,-6.71,1
2016-06-30,275.71,-10.95,1
2016-07-04,271.78,-12.38,1
2016-07-05,265.3,-16.4,1
2016-07-06,271.62,-9.29,1
2016-07-07,270.8,-13.42,1
2016-07-08,272.16,-11.0,1
2016-07-09,278.32,-4.85,1
2016-07-10,273.19,-10.2,1
2016-07-11,275.29,-7.78,1
2016-07-14,272.13,-9.81,1
2016-07-15,278.12,-5.68,1
2016-07-16,271.21,-13.28,1
2016-07-17,271.35,-11.98,1
2016-07-19,270.0,-10.77,1
2016-07-20,268.08,-18.02,1
2016-07-21,260.6,-19.51,1
2016-07-23,268.91,-14.43,1
2016-07-24,270.76,-9.19,1
2016-07-25,267.22,-15.7,1
2016-08-03,270.08,-10.36,1
2016-08-04,281.37,-2.49,1
2016-08-05,272.25,-10.44,1
2016-08-07,269.29,-15.64,1
2016-08-08,268.73,-15.3,1
2016-08-09,271.63,-11.18,1
2016-08-10,266.87,-16.09,1
2016-08-12,271.14,-13.74,1
2016-08-14,273.49,-6.5,1
2016-08-16,271.03,-11.9,1
2016-08-17,269.94,-13.54,1
2016-08-18,264.22,-19.63,1
2016-08-19,269.79,-12.76,1
2016-08-20,290.95,6.19,1
2016-08-21,299.08,12.81,1
2016-08-23,283.21,-0.63,1
2016-08-24,282.74,1.52,1
2016-08-27,278.46,-4.57,1
2016-08-28,296.37,13.88,1
2016-08-29,276.33,-5.78,1
2016-08-30,279.73,-5.06,1
2016-09-01,278.09,-6.27,1
2016-09-02,278.83,-3.1,1
2016-09-05,279.76,-2.63,1
2016-09-06,277.62,-6.21,1
2016-09-07,273.0,-10.56,1
2016-09-08,269.19,-14.4,1
2016-09-09,285.54,0.71,1
2016-09-11,265.56,-19.39,1
2016-09-12,268.04,-14.48,1
2016-09-13,270.92,-11.42,1
2016-09-14,269.32,-13.88,1
2016-09-15,272.6,-9.29,1
2016-09-17,271.86,-12.09,1
2016-09-18,278.19,-5.44,1
2016-09-19,296.81,10.9,1
2016-09-20,297.04,11.9,1
2016-09-21,269.35,-15.03,1
2016-09-22,270.28,-12.03,1
2016-09-24,270.32,-16.65,1
2016-09-25,279.27,-7.09,1
2016-09-26,268.0,-16.24,1
2016-09-27,281.69,-4.39,1
2016-09-29,267.77,-17.42,1
2016-09-30,271.91,-13.18,1
2016-10-01,295.43,11.55,1
2016-10-03,284.11,0.96,1
2016-10-04,281.04,-2.5,1
2016-10-05,276.08,-8.26,1
2016-10-07,273.21,-12.09,1
2016-10-08,268.61,-14.84,1
2016-10-09,271.44,-12.68,1
2016-10-10,281.41,-2.71,1
2016-10-11,269.88,-15.76,1
2016-10-12,275.6,-9.56,1
2016-10-13,274.17,-10.14,1
